#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_THE_BANNERLORD;The Bannerlord (WIP);Le Bannerlord (WIP);Das Bannerlord (WIP);;Los Bannerlord (WIP);;;;;;;;;x
ERA_CHAR_INFO_1;You came by caravan through the heartland of Calradia. Green shoots of wheat, barley and oats are beginning to push through the dark soil of the rolling hills, and on the lower slopes of the snowcapped mountains, herds of cattle and sheep are grazing on the spring grass. Occasionally, too, you catch sight of one of the great warhorses that are the pride of the Swadian nobility. The land here is rich -- but also troubled, as the occasional burnt-out farm bears witness. You keep a wide berth of the forests, where desperate men have taken refuge, and it is some relief when you crest a ridge and catch sight of the great port of Praven, its rooftops made golden by the last rays of the setting sun.; Votre caravane a traversé le cœur de Calradia. Sur les collines ondulantes, le vert des pousses de blé, d'orge et d'avoine contraste avec le noir de la terre, et au pied des montagnes dont les sommets sont encore enneigés, des troupeaux de vaches et de moutons paissent l'herbe printanière. De temps en temps, vous apercevez un de ces grands chevaux de guerre qui font la fierté de la noblesse swadienne. Ici, la terre est riche, mais les temps sont durs, comme en témoignent ça et là quelques fermes incendiées. Vous évitez les forêts où les désespérés trouvent refuge, et c'est avec soulagement que vous atteignez une crête d'où vous apercevez le grand port de Praven et ses toitures scintillant au soleil couchant.;Ihr kamt mit einer Karawane durch das Herzland Calradias. Grüne Keime von Weizen, Gerste und Hafter beginnen, durch die dunkle Erde der Hügellandschaft zu spriesen, und auf den niederen Hängen der schneebedeckten Berge konntet ihr Herden von Kühen und Schafen ausmachen, die sich am frischen Frühlungsgras labten. Gelegentlich bekamt Ihr auch eins der großen Kriegspferde zu Gesicht, die der Stolz des swadischen Adels sind. Das Land hier ist reich – doch auch in Unruhe, wovon der ein oder andere ausgebrannte Bauernhof zeugt. Ihr haltet großen Abstand zu den Wäldern, in denen verzweifelte Männer Zuflucht gesucht haben. Als Ihr einen Hügelkamm erklimmt und den großen Hafen von Praven seht, dessen Dächer von den letzten Sonnenstrahlen in güldenen Glanz getaucht werden, macht sich Erleichterung in Euch breit.;;Habéis llegado en una caravana atravesando el corazón de Calradia. Verdes tallos de trigo, cebada y avena comienzan a brotar del oscuro suelo en las colinas onduladas, y sobre las laderas más bajas de las nevadas montañas manadas de ganado bovino y ovino se alimentan de la hierba primaveral. Ocasionalmente también avistáis alguno de los grandes caballos de guerra que son el orgullo de la nobleza Swadiana. La tierra aquí es rica, pero también conflictiva, como atestiguan aquí y allá granjas quemadas por el camino. Dais un amplio rodeo a los bosques, refugio de hombres desesperados, y tras alcanzar una cima suspiráis con cierto alivio al divisar ante vos el gran puerto de Praven, con sus tejados dorados por los últimos rayos del sol poniente.;;;;;;;;;x
ERA_CHAR_NAME_2;Join a Caravan to Reyvadin;Rejoignez une Caravane à Destination de Reyvadin;Schließt Ihr Euch Einer Karawane Nach Reyvadin;;Os Unís a una Caravana Rumbo a Reyvadin;;;;;;;;;x
ERA_CHAR_INFO_2;You have come through the Vaegir highlands, a plateau exposed to the bitter winds from the north. The land here is frozen for most of the year, the forests are rich with fur-bearing game, and the rivers are teaming with fish. The riches of the land draw the traders, but the traders in turn draw bandits. You saw the occasional dark figure mounted on a shaggy pony, watching the passage of your caravan from a snowy ridge, and were glad when the spires of Reyvadin came into view across the wide valley of the Boluk river.;Vous avez traversé les hautes terres vaegirs, plateau exposé aux vents glacials du nord. Le sol est ici gelé presque toute l'année, mais les forêts sont riches en gibier à fourrure et les rivières regorgent de poissons. Les richesses de cette région attirent les marchands qui attirent eux-mêmes les bandits. Vous avez aperçu une silhouette sombre chevauchant une petite monture poilue suivre le passage de votre caravane du haut d'une crête enneigée, et c'est avec soulagement que vous avez vu se dessiner à l'horizon les flèches de Reyvadin, dans la vaste vallée du fleuve Boluk.;Ihr habt das Vaegir-Hochland durchquert, ein Plateau, das den harten Nordwinden ausgesetzt ist. Das Land hier ist fast ganzjährig gefroren, doch die Wälder sind reich an Pelztieren und in den Flüssen wimmelt es nur so vor Fischen. Der Reichtum des Landes zieht die Händler an, die wiederum Banditen anziehen. Ab und zu bemerktet Ihr dunkle Gestalten auf zotteligen Ponies, die den Vorbeizug Eurer Karawane von einem verschneiten Hügelkamm aus beobachteten und Ihr wart sehr froh, als im weiten Tal des Bolukflusses die Turmspitzen von Reyvadin in Sicht kamen.;;Habéis atravesado las tierras altas de los Vaegires, un páramo expuesto a los áridos vientos del norte. La tierra allí está helada la mayor parte del año, pero los bosques abundan con caza mayor, y los ríos rebosan de peces. Las riquezas de esta tierra atraen a los comerciantes, pero los comerciantes atraen a su vez a los bandidos. De vez en cuando percibíais alguna oscura silueta montada en un poni andrajoso, observando el paso de vuestra caravana desde un risco nevado, y habéis sentido alivio al divisar las agujas de Reyvadin a través del amplio valle del río Boluk.;;;;;;;;;x
ERA_CHAR_NAME_5;Join a Caravan to Tulga;Rejoignez une Caravane à Destination de Tulga;Schließt Ihr Euch Einer Karawane Nach Tulga;;Os Unís a una Caravana Rumbo a Tulga;;;;;;;;;x
ERA_CHAR_INFO_5;You came with a caravan, crossing the mountains that border Calradia on the north and east, bringing spices from faraway lands to trade for wool and salt. The passes were still choked with snow, and it was hard going, but at last you crested a ridge and saw before you the Calradian steppes. On some hillsides the thin grass of spring was already turning yellow, but the lower slopes of the mountains were still a vibrant green. Herds of sheep and tawny steppe ponies drifted across them like clouds, testifying to the wealth of the Khergit khans. From time to time small groups of horseman would follow your caravan from a distance, perhaps sizing up how well you could defend the wealth you carried, so it was with some relief that you saw the towers of Tulga rising up from the plains.;Votre caravane a traversé les montagnes qui bordent Calradia au nord et à l'est. Celle-ci transportait des épices originaires de lointaines contrées pour les échanger contre de la laine et du sel. Les cols étaient encore enneigés et difficilement praticables, mais vous avez finalement franchi une crête et découvert face à vous les steppes calradiennes. Sur certains coteaux, l'herbe fine du printemps jaunissait déjà, mais à basse altitude, les pentes des montagnes étaient encore bien vertes. Des troupeaux de moutons et de petits chevaux des steppes s'y déplaçaient tels des nuages, témoignant de la richesse des khans khergits. De temps en temps, de petits groupes de cavaliers suivaient votre caravane de loin, cherchant peut-être à évaluer votre capacité à défendre les richesses que vous transportiez. C'est donc avec soulagement que vous avez vu se dresser les tours de Tulga au-dessus des plaines.;Ihr kamt mit einer Karawane, die Gewürze aus fernen Landen zum Tausch gegen Wolle und Salz transportierend die Calradia im Norden und Osten begrenzenden Berge durchquerte. Die Pässe waren immer noch verschneit, was die Reise beschwerlich machte, doch schließlich überwandet Ihr einen Hügelkamm und saht die Steppen Calradias vor Euch liegen. Auf manchen Hügeln färbte sich das dünne Frühlingsgras bereits gelb, aber die niederen Hänge der Berge erschienen immer noch in kräftigem Grün. Herden von Schafen und gelbbrauen Steppenponies zogen über sie wie Wolken, den Reichtum der Khergit-Khane bezeugend. Von Zeit zu Zeit folgten Eurer Karawane mit gebührendem Abstand kleine Reitergruppen. Vielleicht versuchten sie ja einzuschätzen, wie gut Ihr die von Euch transportierten Reichtümer verteidigen können würdet? Wie auch immer, als sich vor Euch die Türme von Tulga auf dem Flachland erhoben, wart Ihr schon erleichtert.;;Habéis llegado con una caravana, cruzando las montañas que bordean Calradia por el norte y el este, trayendo especias desde tierras lejanas para intercambiar por sal y lana. Los pasos están aún poco practicables con la nieve y el trayecto resultó duro, pero al alcanzar la cima de un risco pudisteis al fin vislumbrar las estepas de Calradia. Sobre algunas colinas la hierba rala de primavera ya está amarilleando, pero las laderas inferiores de las montañas aún muestran un verde vibrante. Rebaños de ovejas y oscuros ponis de montaña las atraviesan como nubes, atestiguando la riqueza de los khanes Khergitas. De vez en cuando pequeños grupos de jinetes siguen vuestra caravana desde cierta distancia, tal vez estimando vuestra capacidad para defender las riquezas que transportáis, así pues es con cierto alivio que divisáis por fin las torres de Tulga elevándose desde las llanuras.;;;;;;;;;x
ERA_CHAR_NAME_3;Take a Ship to Sargoth;Embarquez sur un Navire à Destination de Sargoth;Besteigt Ihr Ein Schiff Nach Sargoth;;Tomáis un Barco Rumbo a Sargoth;;;;;;;;;x
ERA_CHAR_INFO_3;You took passage with a trading longship, carrying gyrfalcons from the furthest reaches of the north to be bartered for linen and wool. It sailed early in the season, but the master reckoned that the risks of drifting ice and later winter storms could be justified by arriving ahead of the Sea Raiders, who by April would be sailing forth from their island lairs to ravage Calradia's coasts. It was some relief when your ship came in sight of the delta of the Vyl and Boluk rivers, and a short while later, rowed past tidal flats and coastal marshes to the city of Sargoth, home to the Sea Raiders' distant kinsmen, the Nordic lords, who a few generations ago had carved themselves a kingdom in this rich but troubled land.;Vous avez voyagé à bord d'un drakkar de commerce transportant des gerfauts en provenance de lointaines contrées du nord pour être troqués contre du lin et de la laine. Le navire a pris la mer tôt dans la saison, le maître préférant risquer de rencontrer des icebergs dérivants et des tempêtes hivernales tardives plutôt que de croiser des pillards des mers qui, en avril, quitteraient leurs repaires insulaires pour ravager les côtes de Calradia. Vous avez éprouvé un vrai soulagement lorsque votre navire a atteint le delta des fleuves Vyl et Boluk, puis longé les vasières et les marais côtiers jusqu'à la ville de Sargoth, berceau des lointains cousins des pillards des mers, les seigneurs nordiques qui, il y a plusieurs générations, ont bâti leur royaume dans ce pays riche mais agité.;Ihr fuhrt auf einem Handels-Langschiff mit, das Jagdfalken aus dem äußersten Norden zum Tausch gegen Leinen und Wolle mitführte. Man setzte früh im Jahr die Segel, doch der Kapitän meinte, dass die Risiken von Treibeis und später dann Winterstürmen gerechtfertigt seien, könnte man dadurch vor den Seeräubern ankommen, die ab April von ihren Inselstützpunkten aufbrechen, um die Küsten Calradias heimzusuchen.  Aus diesem Grund wart Ihr schon erleichtert, als Euer Schiff in Sichtweite des Vyl- und Boluk-Flussdeltas kam, und wenig später an Watten und Küstensümpfen zur Stadt Sargoth vorbeiruderte, Heimat der nordischen Fürsten, entfernten Verwandten der Seeräuber, die sich vor ein paar Generation ein Königreich in diesem reichen wie zerrissenen Land erkämpft hatten.;;Habéis comprado un pasaje a bordo de un barco de mercancías, cargado de halcones gerifalte procedentes de los lejanos confines del norte para ser intercambiados por lino y lana. Partió antes de temporada, pero el capitán estimó que los riesgos del granizo y las tormentas de finales de invierno estaban justificados por llegar antes que los piratas del mar, que para abril ya estarían partiendo de sus guaridas en las islas para asaltar las costas de Calradia. Ha sido un alivio cuando vuestro barco atisbó por fin el delta de los ríos Vyl y Boluk, y poco tiempo más tarde, pasó a remo por las llanuras mareales y las marismas hasta la ciudad de Sargoth, hogar de los parientes lejanos de los piratas del mar, los señores Nórdicos, que hace unas pocas generaciones levantaron un reino en estas ricas pero atribuladas tierras.;;;;;;;;;x
ERA_CHAR_NAME_4;Take a Ship to Jelkala;Embarquez sur un Navire à Destination de Jelkala;Besteigt Ihr Ein Schiff Nach Jelkala;;Tomáis un Barco Rumbo a Jelkala;;;;;;;;;x
ERA_CHAR_INFO_4;You came by ship, skirting the cliffs where the Rhodok highlands meet the sea. Much of the coastline was obscured by tendrils of fog that snaked down the river valleys, but occasionally you caught sight of a castle watchtower rising above the mists -- and on one occasion, a beacon fire burning to warn of an enemy warband. You knew that you were relatively safe at sea, as you were too far south to risk encountering the sea raiders who trouble the coasts of the Nordic lands, but it was still a relief to reach the Selvar estuary, gateway to the port of Jelkala, and see a Rhodok galley riding at anchor, its pennants fluttering in the evening breeze.;Votre bateau a longé les falaises où les hautes terres rhodoks se jettent dans la mer. La majeure partie du littoral était obscurcie par des nappes de brouillard serpentant à travers les vallées fluviales, mais ça et là, émergeant de la brume, vous aperceviez la tour de guet d'un château... une fois, vous avez même vu un feu d'alarme signalant l'arrivée de troupes ennemies. Vous vous saviez en sécurité en mer, trop au sud pour risquer de rencontrer les pillards des mers qui ravagent les côtes nordiques. Néanmoins, vous avez éprouvé un certain soulagement en atteignant l'estuaire de Selver, porte d'entrée du port de Jelkala, et en voyant une galère rhodok à l'ancre, ses flammes flottant dans la brise du soir.;Ihr kamt mit dem Schiff und umgingt die Klippen, wo das Rhodok-Hochland auf das Meer trifft. Ein Großteil der Küste war von Nebelbänken verdeckt, die sich die Flusstäler hinab schlängelten, doch ab und zu saht Ihr über dem Nebel den Wachturm einer Burg ragen – einmal sogar ein Leuchtfeuer, das vor einer feindlichen Truppe warnen sollte. Zwar wusstet Ihr, dass Ihr auf dem Meer relativ sicher wart, da die Seeräuber, die die Küsten der Nordländer heimsuchen, so weit im Süden nicht aktiv sind, doch als Ihr den Selver-Meeresarm saht, die Einfahrt zum Port von Jalkala, wo eine Rhodok-Galeere, deren Wimpel im Abendwind flatterten, vor Anker lag, da wurde Euch schon froh ums Herz.;;Habéis llegado en barco, sorteando los acantilados donde las tierras altas de los Rhodok se encuentran con el mar. Mucha de la línea costera está oscurecida por zarcillos de niebla que se deslizan desde los valles fluviales, pero ocasionalmente podéis divisar la torre de vigía de un castillo elevándose por encima de las brumas... y, en una ocasión, una hoguera ardiendo en lo alto para avisar sobre una banda de enemigos en pie de guerra. Sabíais que en el mar estabais relativamente a salvo, ya que estabais muy al sur para poder encontraros a los piratas del mar que aterrorizan las costas de las tierras nórdicas, pero aún así ha sido un descanso alcanzar el estuario del Selver, puerta de entrada al puerto de Jelkala, y ver una galera Rhodok anclada con sus banderines ondeando en la brisa del anochecer.;;;;;;;;;x
ERA_CHAR_NAME_6;Join a Caravan to Shariz;Rejoignez une Caravane à Destination de Shariz;Schließt Ihr Euch Einer Karawane Nach Shariz;;Os Unís a una Caravana Rumbo a Shariz;;;;;;;;;x
ERA_CHAR_INFO_6;You came with a caravan, crossing the great desert to the east of Calradia. The bedouin guides chose your route carefully, leapfrogging through treacherous dune fields and across empty gravel plains to low-lying oases rich with orchards and date palms. Your great fear was that the caravan might lose its way and perish of thirst. The small bands of raiders who hovered just out of bowshot, waiting to pick off stragglers, were oddly a comfort -- at least water could be no more than a day's ride away. It was a great relief when the mountains came into view, and on the evening of the following day you crested a rocky pass and in the distance could make out the sea, and the towers of Shariz silhouetted against the sunset.;Votre caravane a traversé le grand désert de l'est de Calradia. Les guides bédouins ont soigneusement choisi votre itinéraire, franchissant prudemment les champs de dunes et les plaines de gravier désertiques jusqu'aux oasis riches en vergers et dattiers. Vous avez eu très peur de vous perdre et de mourir de soif. Les petites bandes de pillards qui rôdaient à portée d'arc, guettant les retardataires, étaient curieusement un réconfort... leur présence prouvant qu'il y avait de l'eau à moins d'une journée de cheval. C'est donc avec un grand soulagement que vous avez vu apparaître les montagnes et que, le lendemain soir, après avoir franchi un col rocailleux, vous avez aperçu au loin la mer et les tours de Shariz se détachant sous le soleil couchant.;Ihr kamt mit einer Karawane, die die große Wüste östlich von Calradia durchquerte. Die Beduinenführer wählten Eure Reiseroute sorgfältig, und führten Euch durch tückische Dünenfehler und über öde Schotterebenen hinweg zu tiefliegenden Oasen, die reich an Obstgärten und Dattenpalmen waren. Eure größte Sorge war, dass die Karawane vom Wege abkommen und verdursten könnte. Die kleine Räuberbande, die Euch gerade so außer Bogenreichweite folgte, war auf sonderbare Weise beruhigend, denn wenigstens konnte Wasser nicht mehr als einen Tagesritt enfernt sein. Als vor Euch die Berge auftauchten, wart Ihr sehr erleichtert. Am Abend des darauffolgenden Tages überquertet Ihr einen steinigen Pass und konntet dabei in der Ferne schon das Meer erkennen, und die Silhouette der Türme von Shariz hob sich gegen den Sonnenuntergang ab.;;Habéis llegado con una caravana, atravesando el gran desierto al este de Calradia. Los guías beduinos eligieron vuestra ruta con cuidado, sorteando las dunas traicioneras y atravesando llanuras de grava desiertas hasta oasis rodeados de huertos y palmerales. Vuestro gran temor era que la caravana se extraviase y murieseis de sed. Las pequeñas bandas de saqueadores que acechaban justo fuera del rango de tiro de los arcos, esperando a saquear vuestros restos, eran un cierto consuelo... al menos, debía haber agua a no más de un día de camino. Fue un gran alivio cuando las montañas se alzaron en el horizonte y, al anochecer del día siguiente, alcanzasteis una cresta rocosa y en la distancia pudisteis ver el mar, y las torres de Shariz recortadas contra el sol de poniente.;;;;;;;;;x
